Product Card Id,Product Name,Department Name,Plant_ID
804,Glove It Women's Imperial Golf Glove,Outdoors,P2
822,Titleist Pro V1x High Numbers Golf Balls,Outdoors,P2
835,Bridgestone e6 Straight Distance NFL Carolina,Outdoors,P2
276,Under Armour Women's Ignite Slide,Footwear,P1
823,Titleist Pro V1x High Numbers Personalized Go,Outdoors,P2
203,GoPro HERO3+ Black Edition Camera,Footwear,P1
364,Total Gym 1400,Apparel,P1
1350,Children's heaters,Apparel,P1
897,Team Golf New England Patriots Putter Grip,Outdoors,P2
37,adidas Kids' F5 Messi FG Soccer Cleat,Fitness,P2
172,Nike Women's Tempo Shorts,Footwear,P1
810,Glove It Women's Mod Oval Golf Glove,Outdoors,P2
821,Titleist Pro V1 High Numbers Personalized Gol,Outdoors,P2
93,Under Armour Men's Tech II T-Shirt,Fitness,P2
1347,Baby sweater,Apparel,P1
305,Mio ALPHA Heart Rate Monitor/Sport Watch,Outdoors,P2
1004,Field & Stream Sportsman 16 Gun Fire Safe,Fan Shop,P3
1346,Sports Books ,Book Shop,P3
58,Diamondback Boys' Insight 24 Performance Hybr,Fitness,P2
311,Polar Loop Activity Tracker,Outdoors,P2
303,Garmin Forerunner 910XT GPS Watch,Outdoors,P2
1354,DVDs ,Discs Shop,P3
1348,CDs of rock,Discs Shop,P3
78,Nike Kids' Grade School KD VI Basketball Shoe,Fitness,P2
258,Nike Women's Free 5.0 TR FIT PRT 4 Training S,Footwear,P1
797,Hirzl Women's Soffft Flex Golf Glove,Outdoors,P2
981,The North Face Women's Recon Backpack,Fan Shop,P3
1355,Lawn mower,Outdoors,P2
135,Nike Dri-FIT Crew Sock 6 Pack,Fitness,P2
134,Nike Women's Legend V-Neck T-Shirt,Fitness,P2
845,Garmin Approach S4 Golf GPS Watch,Outdoors,P2
982,insta-bed Neverflat Air Mattress,Fan Shop,P3
625,Nike Men's Kobe IX Elite Low Basketball Shoe,Golf,P2
1359,Adult dog supplies,Pet Shop,P3
1356,First aid kit,Health and Beauty,P3
607,Garmin Approach S3 Golf GPS Watch,Outdoors,P2
1358,Rock music,Discs Shop,P3
1362,Fighting video games,Discs Shop,P3
295,Fitbit The One Wireless Activity & Sleep Trac,Outdoors,P2
127,Stiga Master Series ST3100 Competition Indoor,Fitness,P2
61,Diamondback Girls' Clarity 24 Hybrid Bike 201,Fitness,P2
35,adidas Brazuca 2014 Official Match Ball,Fitness,P2
858,GolfBuddy VT3 GPS Watch,Outdoors,P2
860,Bushnell Pro X7 Jolt Slope Rangefinder,Outdoors,P2
216,Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,Footwear,P1
19,Nike Men's Fingertrap Max Training Shoe,Fitness,P2
226,Bowflex SelectTech 1090 Dumbbells,Footwear,P1
208,SOLE E35 Elliptical,Footwear,P1
793,Hirzl Women's Hybrid Golf Glove,Outdoors,P2
792,Hirzl Men's Hybrid Golf Glove,Outdoors,P2
786,TaylorMade 2014 Purelite Stand Bag,Outdoors,P2
778,Bag Boy Beverage Holder,Outdoors,P2
777,Bag Boy M330 Push Cart,Outdoors,P2
775,Clicgear 8.0 Shoe Brush,Outdoors,P2
773,Titleist Small Wheeled Travel Cover,Outdoors,P2
771,Clicgear Rovic Cooler Bag,Outdoors,P2
768,Titleist Club Glove Travel Cover,Outdoors,P2
743,Ogio Race Golf Shoes,Outdoors,P2
730,LIJA Women's Argyle Golf Polo,Outdoors,P2
728,LIJA Women's Eyelet Sleeveless Golf Polo,Outdoors,P2
725,LIJA Women's Button Golf Dress,Outdoors,P2
724,LIJA Women's Mid-Length Panel Golf Shorts,Outdoors,P2
715,TaylorMade Women's RBZ SL Rescue,Outdoors,P2
705,Cleveland Golf Women's 588 RTX CB Satin Chrom,Outdoors,P2
703,Top Flite Women's 2014 XL Hybrid,Outdoors,P2
691,MDGolf Pittsburgh Penguins Putter,Outdoors,P2
677,TaylorMade White Smoke IN-12 Putter,Outdoors,P2
671,Cleveland Golf Collegiate My Custom Wedge 588,Outdoors,P2
666,Merrell Men's All Out Flash Trail Running Sho,Outdoors,P2
652,Merrell Women's Grassbow Sport Waterproof Hik,Outdoors,P2
647,Merrell Women's Siren Mid Waterproof Hiking B,Outdoors,P2
646,Merrell Women's Grassbow Sport Hiking Shoe,Outdoors,P2
1361,Toys ,Fan Shop,P3
1073,Pelican Sunstream 100 Kayak,Fan Shop,P3
1059,Pelican Maverick 100X Kayak,Fan Shop,P3
1014,O'Brien Men's Neoprene Life Vest,Fan Shop,P3
