Plant_ID,Product Card Id,Product Name,Order_Date,Weekly_Demand,Demand_Rank,Demand_Last_Week,Demand_Change,Demand_Growth,Plant_Weekly_Demand,Demand_Contribution,Demand_Contribution_Pct,Cumulative_Contribution
P1,273,Under Armour Kids' Mercenary Slide,2015-01-18,6,6.0,6.0,0.0,0.0,988,0.006072874493927126,0.61,0.9817813765182186
P1,278,Under Armour Men's Compression EV SL Slide,2015-01-18,6,6.0,7.0,-1.0,-0.14285714285714285,988,0.006072874493927126,0.61,0.9878542510121457
P1,282,Under Armour Women's Ignite PIP VI Slide,2015-01-18,5,7.0,9.0,-4.0,-0.4444444444444444,988,0.005060728744939271,0.51,0.9929149797570851
P1,249,Under Armour Women's Micro G Skulpt Running S,2015-01-18,4,8.0,7.0,-3.0,-0.42857142857142855,988,0.004048582995951417,0.4,0.9969635627530364
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2015-01-18,3,9.0,2.0,1.0,0.5,988,0.003036437246963563,0.3,1.0
P1,365,Perfect Fitness Perfect Rip Deck,2015-01-25,547,1.0,560.0,-13.0,-0.023214285714285715,1009,0.5421209117938554,54.21,0.5421209117938554
P1,191,Nike Men's Free 5.0+ Running Shoe,2015-01-25,256,2.0,244.0,12.0,0.04918032786885246,1009,0.2537165510406343,25.37,0.7958374628344896
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2015-01-25,128,3.0,140.0,-12.0,-0.08571428571428572,1009,0.12685827552031714,12.69,0.9226957383548068
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2015-01-25,21,4.0,3.0,18.0,6.0,1009,0.02081268582755203,2.08,0.9435084241823588
P1,172,Nike Women's Tempo Shorts,2015-01-25,18,5.0,11.0,7.0,0.6363636363636364,1009,0.017839444995044598,1.78,0.9613478691774034
P1,282,Under Armour Women's Ignite PIP VI Slide,2015-01-25,16,6.0,5.0,11.0,2.2,1009,0.015857284440039643,1.59,0.9772051536174431
P1,273,Under Armour Kids' Mercenary Slide,2015-01-25,8,7.0,6.0,2.0,0.3333333333333333,1009,0.007928642220019821,0.79,0.9851337958374629
P1,276,Under Armour Women's Ignite Slide,2015-01-25,7,8.0,9.0,-2.0,-0.2222222222222222,1009,0.006937561942517344,0.69,0.9920713577799802
P1,249,Under Armour Women's Micro G Skulpt Running S,2015-01-25,4,9.0,4.0,0.0,0.0,1009,0.003964321110009911,0.4,0.9960356788899901
P1,278,Under Armour Men's Compression EV SL Slide,2015-01-25,4,9.0,6.0,-2.0,-0.3333333333333333,1009,0.003964321110009911,0.4,1.0
P1,365,Perfect Fitness Perfect Rip Deck,2015-02-01,522,1.0,547.0,-25.0,-0.04570383912248629,963,0.5420560747663551,54.21,0.5420560747663551
P1,191,Nike Men's Free 5.0+ Running Shoe,2015-02-01,247,2.0,256.0,-9.0,-0.03515625,963,0.2564901349948079,25.65,0.798546209761163
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2015-02-01,148,3.0,128.0,20.0,0.15625,963,0.1536863966770509,15.37,0.9522326064382138
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2015-02-01,9,4.0,21.0,-12.0,-0.5714285714285714,963,0.009345794392523364,0.93,0.9615784008307372
P1,249,Under Armour Women's Micro G Skulpt Running S,2015-02-01,9,4.0,4.0,5.0,1.25,963,0.009345794392523364,0.93,0.9709241952232606
P1,278,Under Armour Men's Compression EV SL Slide,2015-02-01,8,5.0,4.0,4.0,1.0,963,0.008307372793354102,0.83,0.9792315680166147
P1,276,Under Armour Women's Ignite Slide,2015-02-01,7,6.0,7.0,0.0,0.0,963,0.007268951194184839,0.73,0.9865005192107995
P1,273,Under Armour Kids' Mercenary Slide,2015-02-01,5,7.0,8.0,-3.0,-0.375,963,0.005192107995846314,0.52,0.9916926272066459
P1,172,Nike Women's Tempo Shorts,2015-02-01,4,8.0,18.0,-14.0,-0.7777777777777778,963,0.004153686396677051,0.42,0.9958463136033229
P1,282,Under Armour Women's Ignite PIP VI Slide,2015-02-01,4,8.0,16.0,-12.0,-0.75,963,0.004153686396677051,0.42,1.0
P1,365,Perfect Fitness Perfect Rip Deck,2015-02-08,468,1.0,522.0,-54.0,-0.10344827586206896,916,0.5109170305676856,51.09,0.5109170305676856
P1,191,Nike Men's Free 5.0+ Running Shoe,2015-02-08,220,2.0,247.0,-27.0,-0.10931174089068826,916,0.24017467248908297,24.02,0.7510917030567685
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2015-02-08,189,3.0,148.0,41.0,0.27702702702702703,916,0.20633187772925765,20.63,0.9574235807860262
P1,172,Nike Women's Tempo Shorts,2015-02-08,9,4.0,4.0,5.0,1.25,916,0.009825327510917031,0.98,0.9672489082969432
P1,273,Under Armour Kids' Mercenary Slide,2015-02-08,9,4.0,5.0,4.0,0.8,916,0.009825327510917031,0.98,0.9770742358078602
P1,276,Under Armour Women's Ignite Slide,2015-02-08,8,5.0,7.0,1.0,0.14285714285714285,916,0.008733624454148471,0.87,0.9858078602620087
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2015-02-08,4,6.0,9.0,-5.0,-0.5555555555555556,916,0.004366812227074236,0.44,0.990174672489083
P1,249,Under Armour Women's Micro G Skulpt Running S,2015-02-08,4,6.0,9.0,-5.0,-0.5555555555555556,916,0.004366812227074236,0.44,0.9945414847161572
P1,278,Under Armour Men's Compression EV SL Slide,2015-02-08,4,6.0,8.0,-4.0,-0.5,916,0.004366812227074236,0.44,0.9989082969432315
P1,282,Under Armour Women's Ignite PIP VI Slide,2015-02-08,1,7.0,4.0,-3.0,-0.75,916,0.001091703056768559,0.11,1.0
P1,365,Perfect Fitness Perfect Rip Deck,2015-02-15,509,1.0,468.0,41.0,0.0876068376068376,926,0.5496760259179265,54.97,0.5496760259179265
P1,191,Nike Men's Free 5.0+ Running Shoe,2015-02-15,232,2.0,220.0,12.0,0.05454545454545454,926,0.2505399568034557,25.05,0.8002159827213822
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2015-02-15,145,3.0,189.0,-44.0,-0.2328042328042328,926,0.15658747300215983,15.66,0.9568034557235421
P1,282,Under Armour Women's Ignite PIP VI Slide,2015-02-15,11,4.0,1.0,10.0,10.0,926,0.011879049676025918,1.19,0.968682505399568
P1,172,Nike Women's Tempo Shorts,2015-02-15,9,5.0,9.0,0.0,0.0,926,0.009719222462203024,0.97,0.978401727861771
P1,273,Under Armour Kids' Mercenary Slide,2015-02-15,9,5.0,9.0,0.0,0.0,926,0.009719222462203024,0.97,0.9881209503239741
P1,249,Under Armour Women's Micro G Skulpt Running S,2015-02-15,5,6.0,4.0,1.0,0.25,926,0.005399568034557235,0.54,0.9935205183585313
P1,278,Under Armour Men's Compression EV SL Slide,2015-02-15,5,6.0,4.0,1.0,0.25,926,0.005399568034557235,0.54,0.9989200863930885
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2015-02-15,1,7.0,4.0,-3.0,-0.75,926,0.0010799136069114472,0.11,0.9999999999999999
P1,276,Under Armour Women's Ignite Slide,2015-02-15,0,8.0,8.0,-8.0,-1.0,926,0.0,0.0,0.9999999999999999
P1,365,Perfect Fitness Perfect Rip Deck,2015-02-22,510,1.0,509.0,1.0,0.0019646365422396855,982,0.5193482688391039,51.93,0.5193482688391039
P1,191,Nike Men's Free 5.0+ Running Shoe,2015-02-22,282,2.0,232.0,50.0,0.21551724137931033,982,0.28716904276985744,28.72,0.8065173116089613
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2015-02-22,143,3.0,145.0,-2.0,-0.013793103448275862,982,0.14562118126272913,14.56,0.9521384928716905
P1,282,Under Armour Women's Ignite PIP VI Slide,2015-02-22,15,4.0,11.0,4.0,0.36363636363636365,982,0.015274949083503055,1.53,0.9674134419551935
P1,172,Nike Women's Tempo Shorts,2015-02-22,9,5.0,9.0,0.0,0.0,982,0.009164969450101833,0.92,0.9765784114052953
P1,278,Under Armour Men's Compression EV SL Slide,2015-02-22,9,5.0,5.0,4.0,0.8,982,0.009164969450101833,0.92,0.9857433808553971
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2015-02-22,7,6.0,1.0,6.0,6.0,982,0.007128309572301426,0.71,0.9928716904276986
P1,276,Under Armour Women's Ignite Slide,2015-02-22,7,6.0,0.0,7.0,,982,0.007128309572301426,0.71,1.0
P1,249,Under Armour Women's Micro G Skulpt Running S,2015-02-22,0,7.0,5.0,-5.0,-1.0,982,0.0,0.0,1.0
P1,273,Under Armour Kids' Mercenary Slide,2015-02-22,0,7.0,9.0,-9.0,-1.0,982,0.0,0.0,1.0
P1,365,Perfect Fitness Perfect Rip Deck,2015-03-01,544,1.0,510.0,34.0,0.06666666666666667,984,0.5528455284552846,55.28,0.5528455284552846
P1,191,Nike Men's Free 5.0+ Running Shoe,2015-03-01,228,2.0,282.0,-54.0,-0.19148936170212766,984,0.23170731707317074,23.17,0.7845528455284553
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2015-03-01,170,3.0,143.0,27.0,0.1888111888111888,984,0.17276422764227642,17.28,0.9573170731707317
P1,273,Under Armour Kids' Mercenary Slide,2015-03-01,10,4.0,0.0,10.0,,984,0.01016260162601626,1.02,0.967479674796748
P1,278,Under Armour Men's Compression EV SL Slide,2015-03-01,9,5.0,9.0,0.0,0.0,984,0.009146341463414634,0.91,0.9766260162601627
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2015-03-01,7,6.0,7.0,0.0,0.0,984,0.007113821138211382,0.71,0.983739837398374
P1,276,Under Armour Women's Ignite Slide,2015-03-01,6,7.0,7.0,-1.0,-0.14285714285714285,984,0.006097560975609756,0.61,0.9898373983739838
P1,172,Nike Women's Tempo Shorts,2015-03-01,5,8.0,9.0,-4.0,-0.4444444444444444,984,0.00508130081300813,0.51,0.9949186991869919
P1,282,Under Armour Women's Ignite PIP VI Slide,2015-03-01,5,8.0,15.0,-10.0,-0.6666666666666666,984,0.00508130081300813,0.51,1.0
P1,249,Under Armour Women's Micro G Skulpt Running S,2015-03-01,0,9.0,0.0,0.0,,984,0.0,0.0,1.0
P1,365,Perfect Fitness Perfect Rip Deck,2015-03-08,580,1.0,544.0,36.0,0.0661764705882353,1004,0.5776892430278885,57.77,0.5776892430278885
P1,191,Nike Men's Free 5.0+ Running Shoe,2015-03-08,223,2.0,228.0,-5.0,-0.021929824561403508,1004,0.22211155378486055,22.21,0.7998007968127491
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2015-03-08,131,3.0,170.0,-39.0,-0.22941176470588234,1004,0.13047808764940239,13.05,0.9302788844621515
P1,276,Under Armour Women's Ignite Slide,2015-03-08,19,4.0,6.0,13.0,2.1666666666666665,1004,0.018924302788844622,1.89,0.9492031872509961
P1,282,Under Armour Women's Ignite PIP VI Slide,2015-03-08,15,5.0,5.0,10.0,2.0,1004,0.014940239043824702,1.49,0.9641434262948207
P1,249,Under Armour Women's Micro G Skulpt Running S,2015-03-08,12,6.0,0.0,12.0,,1004,0.01195219123505976,1.2,0.9760956175298805
P1,278,Under Armour Men's Compression EV SL Slide,2015-03-08,9,7.0,9.0,0.0,0.0,1004,0.008964143426294821,0.9,0.9850597609561753
P1,273,Under Armour Kids' Mercenary Slide,2015-03-08,8,8.0,10.0,-2.0,-0.2,1004,0.00796812749003984,0.8,0.9930278884462151
P1,172,Nike Women's Tempo Shorts,2015-03-08,6,9.0,5.0,1.0,0.2,1004,0.00597609561752988,0.6,0.999003984063745
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2015-03-08,1,10.0,7.0,-6.0,-0.8571428571428571,1004,0.00099601593625498,0.1,1.0
P1,365,Perfect Fitness Perfect Rip Deck,2015-03-15,537,1.0,580.0,-43.0,-0.07413793103448275,1044,0.514367816091954,51.44,0.514367816091954
P1,191,Nike Men's Free 5.0+ Running Shoe,2015-03-15,307,2.0,223.0,84.0,0.37668161434977576,1044,0.2940613026819923,29.41,0.8084291187739463
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2015-03-15,150,3.0,131.0,19.0,0.1450381679389313,1044,0.14367816091954022,14.37,0.9521072796934866
P1,273,Under Armour Kids' Mercenary Slide,2015-03-15,10,4.0,8.0,2.0,0.25,1044,0.009578544061302681,0.96,0.9616858237547893
P1,278,Under Armour Men's Compression EV SL Slide,2015-03-15,10,4.0,9.0,1.0,0.1111111111111111,1044,0.009578544061302681,0.96,0.9712643678160919
P1,282,Under Armour Women's Ignite PIP VI Slide,2015-03-15,10,4.0,15.0,-5.0,-0.3333333333333333,1044,0.009578544061302681,0.96,0.9808429118773946
P1,172,Nike Women's Tempo Shorts,2015-03-15,7,5.0,6.0,1.0,0.16666666666666666,1044,0.006704980842911878,0.67,0.9875478927203065
P1,249,Under Armour Women's Micro G Skulpt Running S,2015-03-15,7,5.0,12.0,-5.0,-0.4166666666666667,1044,0.006704980842911878,0.67,0.9942528735632183
P1,276,Under Armour Women's Ignite Slide,2015-03-15,5,6.0,19.0,-14.0,-0.7368421052631579,1044,0.004789272030651341,0.48,0.9990421455938697
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2015-03-15,1,7.0,1.0,0.0,0.0,1044,0.0009578544061302681,0.1,1.0
P1,365,Perfect Fitness Perfect Rip Deck,2015-03-22,470,1.0,537.0,-67.0,-0.12476722532588454,909,0.517051705170517,51.71,0.517051705170517
P1,191,Nike Men's Free 5.0+ Running Shoe,2015-03-22,265,2.0,307.0,-42.0,-0.13680781758957655,909,0.2915291529152915,29.15,0.8085808580858085
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2015-03-22,121,3.0,150.0,-29.0,-0.19333333333333333,909,0.1331133113311331,13.31,0.9416941694169416
P1,276,Under Armour Women's Ignite Slide,2015-03-22,12,4.0,5.0,7.0,1.4,909,0.013201320132013201,1.32,0.9548954895489549
P1,249,Under Armour Women's Micro G Skulpt Running S,2015-03-22,11,5.0,7.0,4.0,0.5714285714285714,909,0.0121012101210121,1.21,0.9669966996699669
P1,172,Nike Women's Tempo Shorts,2015-03-22,9,6.0,7.0,2.0,0.2857142857142857,909,0.009900990099009901,0.99,0.9768976897689768
P1,273,Under Armour Kids' Mercenary Slide,2015-03-22,8,7.0,10.0,-2.0,-0.2,909,0.0088008800880088,0.88,0.9856985698569857
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2015-03-22,5,8.0,1.0,4.0,4.0,909,0.005500550055005501,0.55,0.9911991199119912
P1,278,Under Armour Men's Compression EV SL Slide,2015-03-22,5,8.0,10.0,-5.0,-0.5,909,0.005500550055005501,0.55,0.9966996699669967
P1,282,Under Armour Women's Ignite PIP VI Slide,2015-03-22,3,9.0,10.0,-7.0,-0.7,909,0.0033003300330033004,0.33,1.0
P1,365,Perfect Fitness Perfect Rip Deck,2015-03-29,461,1.0,470.0,-9.0,-0.019148936170212766,861,0.5354239256678281,53.54,0.5354239256678281
P1,191,Nike Men's Free 5.0+ Running Shoe,2015-03-29,226,2.0,265.0,-39.0,-0.1471698113207547,861,0.26248548199767713,26.25,0.7979094076655053
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2015-03-29,136,3.0,121.0,15.0,0.12396694214876033,861,0.15795586527293845,15.8,0.9558652729384437
P1,273,Under Armour Kids' Mercenary Slide,2015-03-29,16,4.0,8.0,8.0,1.0,861,0.018583042973286876,1.86,0.9744483159117306
P1,278,Under Armour Men's Compression EV SL Slide,2015-03-29,9,5.0,5.0,4.0,0.8,861,0.010452961672473868,1.05,0.9849012775842044
P1,249,Under Armour Women's Micro G Skulpt Running S,2015-03-29,6,6.0,11.0,-5.0,-0.45454545454545453,861,0.006968641114982578,0.7,0.9918699186991871
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2015-03-29,5,7.0,5.0,0.0,0.0,861,0.005807200929152149,0.58,0.9976771196283392
P1,172,Nike Women's Tempo Shorts,2015-03-29,2,8.0,9.0,-7.0,-0.7777777777777778,861,0.0023228803716608595,0.23,1.0
P1,276,Under Armour Women's Ignite Slide,2015-03-29,0,9.0,12.0,-12.0,-1.0,861,0.0,0.0,1.0
P1,282,Under Armour Women's Ignite PIP VI Slide,2015-03-29,0,9.0,3.0,-3.0,-1.0,861,0.0,0.0,1.0
P1,365,Perfect Fitness Perfect Rip Deck,2015-04-05,566,1.0,461.0,105.0,0.227765726681128,1022,0.5538160469667319,55.38,0.5538160469667319
P1,191,Nike Men's Free 5.0+ Running Shoe,2015-04-05,214,2.0,226.0,-12.0,-0.05309734513274336,1022,0.20939334637964774,20.94,0.7632093933463797
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2015-04-05,188,3.0,136.0,52.0,0.38235294117647056,1022,0.18395303326810175,18.4,0.9471624266144814
P1,249,Under Armour Women's Micro G Skulpt Running S,2015-04-05,15,4.0,6.0,9.0,1.5,1022,0.014677103718199608,1.47,0.961839530332681
P1,276,Under Armour Women's Ignite Slide,2015-04-05,11,5.0,0.0,11.0,,1022,0.010763209393346379,1.08,0.9726027397260274
P1,282,Under Armour Women's Ignite PIP VI Slide,2015-04-05,10,6.0,0.0,10.0,,1022,0.009784735812133072,0.98,0.9823874755381605
P1,273,Under Armour Kids' Mercenary Slide,2015-04-05,8,7.0,16.0,-8.0,-0.5,1022,0.007827788649706457,0.78,0.990215264187867
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2015-04-05,5,8.0,5.0,0.0,0.0,1022,0.004892367906066536,0.49,0.9951076320939335
P1,278,Under Armour Men's Compression EV SL Slide,2015-04-05,3,9.0,9.0,-6.0,-0.6666666666666666,1022,0.0029354207436399216,0.29,0.9980430528375734
P1,172,Nike Women's Tempo Shorts,2015-04-05,2,10.0,2.0,0.0,0.0,1022,0.0019569471624266144,0.2,1.0
P1,365,Perfect Fitness Perfect Rip Deck,2015-04-12,464,1.0,566.0,-102.0,-0.18021201413427562,928,0.5,50.0,0.5
P1,191,Nike Men's Free 5.0+ Running Shoe,2015-04-12,253,2.0,214.0,39.0,0.1822429906542056,928,0.27262931034482757,27.26,0.7726293103448276
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2015-04-12,159,3.0,188.0,-29.0,-0.15425531914893617,928,0.1713362068965517,17.13,0.9439655172413792
P1,249,Under Armour Women's Micro G Skulpt Running S,2015-04-12,17,4.0,15.0,2.0,0.13333333333333333,928,0.018318965517241378,1.83,0.9622844827586207
P1,172,Nike Women's Tempo Shorts,2015-04-12,11,5.0,2.0,9.0,4.5,928,0.011853448275862068,1.19,0.9741379310344828
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2015-04-12,10,6.0,5.0,5.0,1.0,928,0.010775862068965518,1.08,0.9849137931034483
P1,276,Under Armour Women's Ignite Slide,2015-04-12,10,6.0,11.0,-1.0,-0.09090909090909091,928,0.010775862068965518,1.08,0.9956896551724138
P1,278,Under Armour Men's Compression EV SL Slide,2015-04-12,4,7.0,3.0,1.0,0.3333333333333333,928,0.004310344827586207,0.43,1.0
P1,273,Under Armour Kids' Mercenary Slide,2015-04-12,0,8.0,8.0,-8.0,-1.0,928,0.0,0.0,1.0
P1,282,Under Armour Women's Ignite PIP VI Slide,2015-04-12,0,8.0,10.0,-10.0,-1.0,928,0.0,0.0,1.0
P1,365,Perfect Fitness Perfect Rip Deck,2015-04-19,581,1.0,464.0,117.0,0.2521551724137931,1034,0.5618955512572534,56.19,0.5618955512572534
P1,191,Nike Men's Free 5.0+ Running Shoe,2015-04-19,263,2.0,253.0,10.0,0.039525691699604744,1034,0.25435203094777564,25.44,0.816247582205029
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2015-04-19,151,3.0,159.0,-8.0,-0.050314465408805034,1034,0.14603481624758222,14.6,0.9622823984526113
P1,278,Under Armour Men's Compression EV SL Slide,2015-04-19,13,4.0,4.0,9.0,2.25,1034,0.012572533849129593,1.26,0.9748549323017409
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2015-04-19,11,5.0,10.0,1.0,0.1,1034,0.010638297872340425,1.06,0.9854932301740813
P1,249,Under Armour Women's Micro G Skulpt Running S,2015-04-19,7,6.0,17.0,-10.0,-0.5882352941176471,1034,0.006769825918762089,0.68,0.9922630560928434
P1,276,Under Armour Women's Ignite Slide,2015-04-19,3,7.0,10.0,-7.0,-0.7,1034,0.0029013539651837525,0.29,0.9951644100580271
P1,282,Under Armour Women's Ignite PIP VI Slide,2015-04-19,3,7.0,0.0,3.0,,1034,0.0029013539651837525,0.29,0.9980657640232109
P1,172,Nike Women's Tempo Shorts,2015-04-19,2,8.0,11.0,-9.0,-0.8181818181818182,1034,0.0019342359767891683,0.19,1.0
P1,273,Under Armour Kids' Mercenary Slide,2015-04-19,0,9.0,0.0,0.0,,1034,0.0,0.0,1.0
P1,365,Perfect Fitness Perfect Rip Deck,2015-04-26,489,1.0,581.0,-92.0,-0.15834767641996558,947,0.5163674762407603,51.64,0.5163674762407603
P1,191,Nike Men's Free 5.0+ Running Shoe,2015-04-26,267,2.0,263.0,4.0,0.015209125475285171,947,0.2819429778247096,28.19,0.79831045406547
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2015-04-26,124,3.0,151.0,-27.0,-0.17880794701986755,947,0.13093980992608237,13.09,0.9292502639915523
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2015-04-26,26,4.0,11.0,15.0,1.3636363636363635,947,0.027455121436114043,2.75,0.9567053854276664
P1,172,Nike Women's Tempo Shorts,2015-04-26,14,5.0,2.0,12.0,6.0,947,0.014783526927138331,1.48,0.9714889123548046
P1,278,Under Armour Men's Compression EV SL Slide,2015-04-26,10,6.0,13.0,-3.0,-0.23076923076923078,947,0.010559662090813094,1.06,0.9820485744456178
P1,282,Under Armour Women's Ignite PIP VI Slide,2015-04-26,9,7.0,3.0,6.0,2.0,947,0.009503695881731784,0.95,0.9915522703273495
P1,273,Under Armour Kids' Mercenary Slide,2015-04-26,8,8.0,0.0,8.0,,947,0.008447729672650475,0.84,1.0
P1,249,Under Armour Women's Micro G Skulpt Running S,2015-04-26,0,9.0,7.0,-7.0,-1.0,947,0.0,0.0,1.0
P1,276,Under Armour Women's Ignite Slide,2015-04-26,0,9.0,3.0,-3.0,-1.0,947,0.0,0.0,1.0
P1,365,Perfect Fitness Perfect Rip Deck,2015-05-03,515,1.0,489.0,26.0,0.053169734151329244,969,0.5314757481940144,53.15,0.5314757481940144
P1,191,Nike Men's Free 5.0+ Running Shoe,2015-05-03,256,2.0,267.0,-11.0,-0.04119850187265917,969,0.26418988648090813,26.42,0.7956656346749226
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2015-05-03,137,3.0,124.0,13.0,0.10483870967741936,969,0.14138286893704852,14.14,0.9370485036119711
P1,172,Nike Women's Tempo Shorts,2015-05-03,19,4.0,14.0,5.0,0.35714285714285715,969,0.0196078431372549,1.96,0.956656346749226
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2015-05-03,17,5.0,26.0,-9.0,-0.34615384615384615,969,0.017543859649122806,1.75,0.9742002063983488
P1,273,Under Armour Kids' Mercenary Slide,2015-05-03,11,6.0,8.0,3.0,0.375,969,0.011351909184726523,1.14,0.9855521155830753
P1,276,Under Armour Women's Ignite Slide,2015-05-03,5,7.0,0.0,5.0,,969,0.005159958720330237,0.52,0.9907120743034056
P1,282,Under Armour Women's Ignite PIP VI Slide,2015-05-03,5,7.0,9.0,-4.0,-0.4444444444444444,969,0.005159958720330237,0.52,0.9958720330237358
P1,249,Under Armour Women's Micro G Skulpt Running S,2015-05-03,3,8.0,0.0,3.0,,969,0.0030959752321981426,0.31,0.9989680082559339
P1,278,Under Armour Men's Compression EV SL Slide,2015-05-03,1,9.0,10.0,-9.0,-0.9,969,0.0010319917440660474,0.1,1.0
P1,365,Perfect Fitness Perfect Rip Deck,2015-05-10,466,1.0,515.0,-49.0,-0.09514563106796116,973,0.4789311408016444,47.89,0.4789311408016444
P1,191,Nike Men's Free 5.0+ Running Shoe,2015-05-10,325,2.0,256.0,69.0,0.26953125,973,0.3340184994861254,33.4,0.8129496402877698
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2015-05-10,132,3.0,137.0,-5.0,-0.0364963503649635,973,0.13566289825282632,13.57,0.9486125385405961
P1,172,Nike Women's Tempo Shorts,2015-05-10,16,4.0,19.0,-3.0,-0.15789473684210525,973,0.01644398766700925,1.64,0.9650565262076054
P1,273,Under Armour Kids' Mercenary Slide,2015-05-10,15,5.0,11.0,4.0,0.36363636363636365,973,0.015416238437821172,1.54,0.9804727646454265
