Plant_ID,Product Card Id,Product Name,Order_Date,Weekly_Demand,Beginning_Inventory,Weekly_Capacity,Baseline_Available_Capacity,ABC_Class,Planning_Priority,Planning_Key,Scenario,Scenario_Demand,Scenario_Capacity,Net_Demand,Allocated_Qty,Backlog,Remaining_Capacity,Allocation_Order,Allocation_Strategy,Allocation_Reason
P1,282,Under Armour Women's Ignite PIP VI Slide,2017-01-29,9,10.0,1165,225,C,1,P1|282|2017-01-29,Baseline,9.0,1165,0.0,0.0,0.0,1161.0,10,Priority First,No Production Required
P1,191,Nike Men's Free 5.0+ Running Shoe,2017-02-05,323,1357.0,1165,169,A,3,P1|191|2017-02-05,Baseline,323.0,1165,0.0,0.0,0.0,1165.0,1,Priority First,No Production Required
P1,365,Perfect Fitness Perfect Rip Deck,2017-02-05,502,2778.0,1165,169,A,3,P1|365|2017-02-05,Baseline,502.0,1165,0.0,0.0,0.0,1165.0,2,Priority First,No Production Required
P1,276,Under Armour Women's Ignite Slide,2017-02-05,0,33.0,1165,169,B,2,P1|276|2017-02-05,Baseline,0.0,1165,0.0,0.0,0.0,1165.0,3,Priority First,No Production Required
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2017-02-05,153,508.0,1165,169,B,2,P1|403|2017-02-05,Baseline,153.0,1165,0.0,0.0,0.0,1165.0,4,Priority First,No Production Required
P1,172,Nike Women's Tempo Shorts,2017-02-05,0,13.0,1165,169,C,1,P1|172|2017-02-05,Baseline,0.0,1165,0.0,0.0,0.0,1165.0,5,Priority First,No Production Required
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2017-02-05,2,21.0,1165,169,C,1,P1|235|2017-02-05,Baseline,2.0,1165,0.0,0.0,0.0,1165.0,6,Priority First,No Production Required
P1,249,Under Armour Women's Micro G Skulpt Running S,2017-02-05,5,21.0,1165,169,C,1,P1|249|2017-02-05,Baseline,5.0,1165,0.0,0.0,0.0,1165.0,7,Priority First,No Production Required
P1,273,Under Armour Kids' Mercenary Slide,2017-02-05,4,20.0,1165,169,C,1,P1|273|2017-02-05,Baseline,4.0,1165,0.0,0.0,0.0,1165.0,8,Priority First,No Production Required
P1,278,Under Armour Men's Compression EV SL Slide,2017-02-05,0,12.0,1165,169,C,1,P1|278|2017-02-05,Baseline,0.0,1165,0.0,0.0,0.0,1165.0,9,Priority First,No Production Required
P1,282,Under Armour Women's Ignite PIP VI Slide,2017-02-05,7,21.0,1165,169,C,1,P1|282|2017-02-05,Baseline,7.0,1165,0.0,0.0,0.0,1165.0,10,Priority First,No Production Required
P1,191,Nike Men's Free 5.0+ Running Shoe,2017-02-12,277,1034.0,1165,250,A,3,P1|191|2017-02-12,Baseline,277.0,1165,0.0,0.0,0.0,1165.0,1,Priority First,No Production Required
P1,365,Perfect Fitness Perfect Rip Deck,2017-02-12,487,2276.0,1165,250,A,3,P1|365|2017-02-12,Baseline,487.0,1165,0.0,0.0,0.0,1165.0,2,Priority First,No Production Required
P1,276,Under Armour Women's Ignite Slide,2017-02-12,0,33.0,1165,250,B,2,P1|276|2017-02-12,Baseline,0.0,1165,0.0,0.0,0.0,1165.0,3,Priority First,No Production Required
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2017-02-12,129,355.0,1165,250,B,2,P1|403|2017-02-12,Baseline,129.0,1165,0.0,0.0,0.0,1165.0,4,Priority First,No Production Required
P1,172,Nike Women's Tempo Shorts,2017-02-12,0,13.0,1165,250,C,1,P1|172|2017-02-12,Baseline,0.0,1165,0.0,0.0,0.0,1165.0,5,Priority First,No Production Required
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2017-02-12,0,19.0,1165,250,C,1,P1|235|2017-02-12,Baseline,0.0,1165,0.0,0.0,0.0,1165.0,6,Priority First,No Production Required
P1,249,Under Armour Women's Micro G Skulpt Running S,2017-02-12,5,16.0,1165,250,C,1,P1|249|2017-02-12,Baseline,5.0,1165,0.0,0.0,0.0,1165.0,7,Priority First,No Production Required
P1,273,Under Armour Kids' Mercenary Slide,2017-02-12,2,16.0,1165,250,C,1,P1|273|2017-02-12,Baseline,2.0,1165,0.0,0.0,0.0,1165.0,8,Priority First,No Production Required
P1,278,Under Armour Men's Compression EV SL Slide,2017-02-12,3,12.0,1165,250,C,1,P1|278|2017-02-12,Baseline,3.0,1165,0.0,0.0,0.0,1165.0,9,Priority First,No Production Required
P1,282,Under Armour Women's Ignite PIP VI Slide,2017-02-12,12,14.0,1165,250,C,1,P1|282|2017-02-12,Baseline,12.0,1165,0.0,0.0,0.0,1165.0,10,Priority First,No Production Required
P1,191,Nike Men's Free 5.0+ Running Shoe,2017-02-19,272,757.0,1165,166,A,3,P1|191|2017-02-19,Baseline,272.0,1165,0.0,0.0,0.0,1165.0,1,Priority First,No Production Required
P1,365,Perfect Fitness Perfect Rip Deck,2017-02-19,558,1789.0,1165,166,A,3,P1|365|2017-02-19,Baseline,558.0,1165,0.0,0.0,0.0,1165.0,2,Priority First,No Production Required
P1,276,Under Armour Women's Ignite Slide,2017-02-19,11,33.0,1165,166,B,2,P1|276|2017-02-19,Baseline,11.0,1165,0.0,0.0,0.0,1165.0,3,Priority First,No Production Required
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2017-02-19,124,226.0,1165,166,B,2,P1|403|2017-02-19,Baseline,124.0,1165,0.0,0.0,0.0,1165.0,4,Priority First,No Production Required
P1,282,Under Armour Women's Ignite PIP VI Slide,2017-02-19,6,2.0,1165,166,C,1,P1|282|2017-02-19,Baseline,6.0,1165,4.0,4.0,0.0,1161.0,5,Priority First,Demand Fully Satisfied
P1,172,Nike Women's Tempo Shorts,2017-02-19,6,13.0,1165,166,C,1,P1|172|2017-02-19,Baseline,6.0,1165,0.0,0.0,0.0,1161.0,6,Priority First,No Production Required
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2017-02-19,11,19.0,1165,166,C,1,P1|235|2017-02-19,Baseline,11.0,1165,0.0,0.0,0.0,1161.0,7,Priority First,No Production Required
P1,249,Under Armour Women's Micro G Skulpt Running S,2017-02-19,6,11.0,1165,166,C,1,P1|249|2017-02-19,Baseline,6.0,1165,0.0,0.0,0.0,1161.0,8,Priority First,No Production Required
P1,273,Under Armour Kids' Mercenary Slide,2017-02-19,4,14.0,1165,166,C,1,P1|273|2017-02-19,Baseline,4.0,1165,0.0,0.0,0.0,1161.0,9,Priority First,No Production Required
P1,278,Under Armour Men's Compression EV SL Slide,2017-02-19,1,9.0,1165,166,C,1,P1|278|2017-02-19,Baseline,1.0,1165,0.0,0.0,0.0,1161.0,10,Priority First,No Production Required
P1,191,Nike Men's Free 5.0+ Running Shoe,2017-02-26,340,1626.0,1165,14,A,3,P1|191|2017-02-26,Baseline,340.0,1165,0.0,0.0,0.0,1165.0,1,Priority First,No Production Required
P1,365,Perfect Fitness Perfect Rip Deck,2017-02-26,587,3267.0,1165,14,A,3,P1|365|2017-02-26,Baseline,587.0,1165,0.0,0.0,0.0,1165.0,2,Priority First,No Production Required
P1,276,Under Armour Women's Ignite Slide,2017-02-26,7,33.0,1165,14,B,2,P1|276|2017-02-26,Baseline,7.0,1165,0.0,0.0,0.0,1165.0,3,Priority First,No Production Required
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2017-02-26,169,658.0,1165,14,B,2,P1|403|2017-02-26,Baseline,169.0,1165,0.0,0.0,0.0,1165.0,4,Priority First,No Production Required
P1,282,Under Armour Women's Ignite PIP VI Slide,2017-02-26,8,0.0,1165,14,C,1,P1|282|2017-02-26,Baseline,8.0,1165,8.0,8.0,0.0,1157.0,5,Priority First,Demand Fully Satisfied
P1,249,Under Armour Women's Micro G Skulpt Running S,2017-02-26,12,5.0,1165,14,C,1,P1|249|2017-02-26,Baseline,12.0,1165,7.0,7.0,0.0,1150.0,6,Priority First,Demand Fully Satisfied
P1,172,Nike Women's Tempo Shorts,2017-02-26,5,22.0,1165,14,C,1,P1|172|2017-02-26,Baseline,5.0,1165,0.0,0.0,0.0,1150.0,7,Priority First,No Production Required
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2017-02-26,3,21.0,1165,14,C,1,P1|235|2017-02-26,Baseline,3.0,1165,0.0,0.0,0.0,1150.0,8,Priority First,No Production Required
P1,273,Under Armour Kids' Mercenary Slide,2017-02-26,9,10.0,1165,14,C,1,P1|273|2017-02-26,Baseline,9.0,1165,0.0,0.0,0.0,1150.0,9,Priority First,No Production Required
P1,278,Under Armour Men's Compression EV SL Slide,2017-02-26,11,20.0,1165,14,C,1,P1|278|2017-02-26,Baseline,11.0,1165,0.0,0.0,0.0,1150.0,10,Priority First,No Production Required
P1,191,Nike Men's Free 5.0+ Running Shoe,2017-03-05,247,1286.0,1165,215,A,3,P1|191|2017-03-05,Baseline,247.0,1165,0.0,0.0,0.0,1165.0,1,Priority First,No Production Required
P1,365,Perfect Fitness Perfect Rip Deck,2017-03-05,510,2680.0,1165,215,A,3,P1|365|2017-03-05,Baseline,510.0,1165,0.0,0.0,0.0,1165.0,2,Priority First,No Production Required
P1,276,Under Armour Women's Ignite Slide,2017-03-05,8,26.0,1165,215,B,2,P1|276|2017-03-05,Baseline,8.0,1165,0.0,0.0,0.0,1165.0,3,Priority First,No Production Required
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2017-03-05,147,489.0,1165,215,B,2,P1|403|2017-03-05,Baseline,147.0,1165,0.0,0.0,0.0,1165.0,4,Priority First,No Production Required
P1,172,Nike Women's Tempo Shorts,2017-03-05,2,17.0,1165,215,C,1,P1|172|2017-03-05,Baseline,2.0,1165,0.0,0.0,0.0,1165.0,5,Priority First,No Production Required
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2017-03-05,16,18.0,1165,215,C,1,P1|235|2017-03-05,Baseline,16.0,1165,0.0,0.0,0.0,1165.0,6,Priority First,No Production Required
P1,249,Under Armour Women's Micro G Skulpt Running S,2017-03-05,6,21.0,1165,215,C,1,P1|249|2017-03-05,Baseline,6.0,1165,0.0,0.0,0.0,1165.0,7,Priority First,No Production Required
P1,273,Under Armour Kids' Mercenary Slide,2017-03-05,11,20.0,1165,215,C,1,P1|273|2017-03-05,Baseline,11.0,1165,0.0,0.0,0.0,1165.0,8,Priority First,No Production Required
P1,278,Under Armour Men's Compression EV SL Slide,2017-03-05,3,9.0,1165,215,C,1,P1|278|2017-03-05,Baseline,3.0,1165,0.0,0.0,0.0,1165.0,9,Priority First,No Production Required
P1,282,Under Armour Women's Ignite PIP VI Slide,2017-03-05,0,21.0,1165,215,C,1,P1|282|2017-03-05,Baseline,0.0,1165,0.0,0.0,0.0,1165.0,10,Priority First,No Production Required
P1,191,Nike Men's Free 5.0+ Running Shoe,2017-03-12,213,1039.0,1165,212,A,3,P1|191|2017-03-12,Baseline,213.0,1165,0.0,0.0,0.0,1165.0,1,Priority First,No Production Required
P1,365,Perfect Fitness Perfect Rip Deck,2017-03-12,527,2170.0,1165,212,A,3,P1|365|2017-03-12,Baseline,527.0,1165,0.0,0.0,0.0,1165.0,2,Priority First,No Production Required
P1,276,Under Armour Women's Ignite Slide,2017-03-12,10,18.0,1165,212,B,2,P1|276|2017-03-12,Baseline,10.0,1165,0.0,0.0,0.0,1165.0,3,Priority First,No Production Required
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2017-03-12,163,342.0,1165,212,B,2,P1|403|2017-03-12,Baseline,163.0,1165,0.0,0.0,0.0,1165.0,4,Priority First,No Production Required
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2017-03-12,3,2.0,1165,212,C,1,P1|235|2017-03-12,Baseline,3.0,1165,1.0,1.0,0.0,1164.0,5,Priority First,Demand Fully Satisfied
P1,172,Nike Women's Tempo Shorts,2017-03-12,14,15.0,1165,212,C,1,P1|172|2017-03-12,Baseline,14.0,1165,0.0,0.0,0.0,1164.0,6,Priority First,No Production Required
P1,249,Under Armour Women's Micro G Skulpt Running S,2017-03-12,12,15.0,1165,212,C,1,P1|249|2017-03-12,Baseline,12.0,1165,0.0,0.0,0.0,1164.0,7,Priority First,No Production Required
P1,273,Under Armour Kids' Mercenary Slide,2017-03-12,2,9.0,1165,212,C,1,P1|273|2017-03-12,Baseline,2.0,1165,0.0,0.0,0.0,1164.0,8,Priority First,No Production Required
P1,278,Under Armour Men's Compression EV SL Slide,2017-03-12,5,6.0,1165,212,C,1,P1|278|2017-03-12,Baseline,5.0,1165,0.0,0.0,0.0,1164.0,9,Priority First,No Production Required
P1,282,Under Armour Women's Ignite PIP VI Slide,2017-03-12,4,21.0,1165,212,C,1,P1|282|2017-03-12,Baseline,4.0,1165,0.0,0.0,0.0,1164.0,10,Priority First,No Production Required
P1,191,Nike Men's Free 5.0+ Running Shoe,2017-03-19,263,826.0,1165,122,A,3,P1|191|2017-03-19,Baseline,263.0,1165,0.0,0.0,0.0,1165.0,1,Priority First,No Production Required
P1,365,Perfect Fitness Perfect Rip Deck,2017-03-19,579,1643.0,1165,122,A,3,P1|365|2017-03-19,Baseline,579.0,1165,0.0,0.0,0.0,1165.0,2,Priority First,No Production Required
P1,276,Under Armour Women's Ignite Slide,2017-03-19,9,8.0,1165,122,B,2,P1|276|2017-03-19,Baseline,9.0,1165,1.0,1.0,0.0,1164.0,3,Priority First,Demand Fully Satisfied
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2017-03-19,153,179.0,1165,122,B,2,P1|403|2017-03-19,Baseline,153.0,1165,0.0,0.0,0.0,1164.0,4,Priority First,No Production Required
P1,172,Nike Women's Tempo Shorts,2017-03-19,12,1.0,1165,122,C,1,P1|172|2017-03-19,Baseline,12.0,1165,11.0,11.0,0.0,1153.0,5,Priority First,Demand Fully Satisfied
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2017-03-19,11,0.0,1165,122,C,1,P1|235|2017-03-19,Baseline,11.0,1165,11.0,11.0,0.0,1142.0,6,Priority First,Demand Fully Satisfied
P1,278,Under Armour Men's Compression EV SL Slide,2017-03-19,12,1.0,1165,122,C,1,P1|278|2017-03-19,Baseline,12.0,1165,11.0,11.0,0.0,1131.0,7,Priority First,Demand Fully Satisfied
P1,249,Under Armour Women's Micro G Skulpt Running S,2017-03-19,0,3.0,1165,122,C,1,P1|249|2017-03-19,Baseline,0.0,1165,0.0,0.0,0.0,1131.0,8,Priority First,No Production Required
P1,273,Under Armour Kids' Mercenary Slide,2017-03-19,0,7.0,1165,122,C,1,P1|273|2017-03-19,Baseline,0.0,1165,0.0,0.0,0.0,1131.0,9,Priority First,No Production Required
P1,282,Under Armour Women's Ignite PIP VI Slide,2017-03-19,4,17.0,1165,122,C,1,P1|282|2017-03-19,Baseline,4.0,1165,0.0,0.0,0.0,1131.0,10,Priority First,No Production Required
P1,191,Nike Men's Free 5.0+ Running Shoe,2017-03-26,250,1626.0,1165,235,A,3,P1|191|2017-03-26,Baseline,250.0,1165,0.0,0.0,0.0,1165.0,1,Priority First,No Production Required
P1,365,Perfect Fitness Perfect Rip Deck,2017-03-26,442,3267.0,1165,235,A,3,P1|365|2017-03-26,Baseline,442.0,1165,0.0,0.0,0.0,1165.0,2,Priority First,No Production Required
P1,276,Under Armour Women's Ignite Slide,2017-03-26,2,33.0,1165,235,B,2,P1|276|2017-03-26,Baseline,2.0,1165,0.0,0.0,0.0,1165.0,3,Priority First,No Production Required
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2017-03-26,175,658.0,1165,235,B,2,P1|403|2017-03-26,Baseline,175.0,1165,0.0,0.0,0.0,1165.0,4,Priority First,No Production Required
P1,249,Under Armour Women's Micro G Skulpt Running S,2017-03-26,12,3.0,1165,235,C,1,P1|249|2017-03-26,Baseline,12.0,1165,9.0,9.0,0.0,1156.0,5,Priority First,Demand Fully Satisfied
P1,172,Nike Women's Tempo Shorts,2017-03-26,16,22.0,1165,235,C,1,P1|172|2017-03-26,Baseline,16.0,1165,0.0,0.0,0.0,1156.0,6,Priority First,No Production Required
P1,235,Under Armour Hustle Storm Medium Duffle Bag,2017-03-26,17,21.0,1165,235,C,1,P1|235|2017-03-26,Baseline,17.0,1165,0.0,0.0,0.0,1156.0,7,Priority First,No Production Required
P1,273,Under Armour Kids' Mercenary Slide,2017-03-26,7,7.0,1165,235,C,1,P1|273|2017-03-26,Baseline,7.0,1165,0.0,0.0,0.0,1156.0,8,Priority First,No Production Required
P1,278,Under Armour Men's Compression EV SL Slide,2017-03-26,2,20.0,1165,235,C,1,P1|278|2017-03-26,Baseline,2.0,1165,0.0,0.0,0.0,1156.0,9,Priority First,No Production Required
P1,282,Under Armour Women's Ignite PIP VI Slide,2017-03-26,7,13.0,1165,235,C,1,P1|282|2017-03-26,Baseline,7.0,1165,0.0,0.0,0.0,1156.0,10,Priority First,No Production Required
P1,191,Nike Men's Free 5.0+ Running Shoe,2017-04-02,244,1376.0,1165,253,A,3,P1|191|2017-04-02,Baseline,244.0,1165,0.0,0.0,0.0,1165.0,1,Priority First,No Production Required
P1,365,Perfect Fitness Perfect Rip Deck,2017-04-02,447,2825.0,1165,253,A,3,P1|365|2017-04-02,Baseline,447.0,1165,0.0,0.0,0.0,1165.0,2,Priority First,No Production Required
P1,276,Under Armour Women's Ignite Slide,2017-04-02,12,31.0,1165,253,B,2,P1|276|2017-04-02,Baseline,12.0,1165,0.0,0.0,0.0,1165.0,3,Priority First,No Production Required
P1,403,Nike Men's CJ Elite 2 TD Football Cleat,2017-04-02,172,483.0,1165,253,B,2,P1|403|2017-04-02,Baseline,172.0,1165,0.0,0.0,0.0,1165.0,4,Priority First,No Production Required
